Fecha, Hora,Estado_general, Estado_detallado, Valor de Prediccion
2024-10-04,01:49:18,Inestable,Inestabilidad leve,0.61936885
2024-10-04,01:49:18,Inestable,Inestabilidad leve,0.6034734
2024-10-04,01:49:18,Inestable,Inestabilidad leve,0.63573086
2024-10-04,01:49:18,Inestable,Inestabilidad leve,0.61641115
2024-10-04,01:49:19,Inestable,Inestabilidad leve,0.6257127
2024-10-04,01:49:19,Inestable,Inestabilidad leve,0.60188776
2024-10-04,01:49:19,Inestable,Inestabilidad leve,0.6422577
2024-10-04,01:49:19,Inestable,Inestabilidad leve,0.63196415
2024-10-04,01:49:19,Inestable,Inestabilidad leve,0.64080155
2024-10-04,01:49:19,Inestable,Inestabilidad leve,0.61069727
2024-10-04,01:49:19,Inestable,Inestabilidad leve,0.65755856
2024-10-04,01:49:19,Inestable,Inestabilidad leve,0.6075897
2024-10-04,01:49:19,Inestable,Inestabilidad leve,0.62987226
2024-10-04,01:49:19,Inestable,Inestabilidad leve,0.6191453
2024-10-04,01:49:20,Inestable,Inestabilidad leve,0.6157352
2024-10-04,01:49:20,Inestable,Inestabilidad leve,0.6105825
2024-10-04,01:49:20,Inestable,Inestabilidad leve,0.62066984
2024-10-04,01:49:20,Inestable,Inestabilidad leve,0.6366135
2024-10-04,01:49:20,Inestable,Inestabilidad leve,0.61988544
2024-10-04,01:49:20,Inestable,Inestabilidad leve,0.6159961
2024-10-04,01:49:20,Inestable,Inestabilidad leve,0.6139443
2024-10-04,01:49:20,Inestable,Inestabilidad leve,0.62413704
2024-10-04,01:49:20,Inestable,Inestabilidad leve,0.59392405
2024-10-04,01:49:20,Inestable,Inestabilidad leve,0.5951433
2024-10-04,01:49:20,Inestable,Inestabilidad leve,0.59607756
2024-10-04,01:49:21,Inestable,Inestabilidad leve,0.5882335
2024-10-04,01:49:21,Inestable,Inestabilidad leve,0.58958876
2024-10-04,01:49:21,Inestable,Inestabilidad leve,0.5906277
2024-10-04,01:49:21,Inestable,Inestabilidad leve,0.5804393
2024-10-04,01:49:21,Inestable,Inestabilidad leve,0.59244764
2024-10-04,01:49:21,Inestable,Inestabilidad leve,0.54445887
2024-10-04,01:49:21,Inestable,Inestabilidad leve,0.5495961
2024-10-04,01:49:21,Inestable,Inestabilidad leve,0.5398765
2024-10-04,01:49:21,Inestable,Inestabilidad leve,0.5674974
2024-10-04,01:49:21,Inestable,Inestabilidad leve,0.53125656
2024-10-04,01:49:21,Inestable,Inestabilidad leve,0.53206265
2024-10-04,01:49:22,Inestable,Inestabilidad leve,0.54157054
2024-10-04,01:49:22,Inestable,Inestabilidad leve,0.5604731
2024-10-04,01:49:22,Estable,Estable,0.49554098
2024-10-04,01:49:22,Inestable,Inestabilidad leve,0.5230838
2024-10-04,01:49:22,Estable,Estable,0.04891611
2024-10-04,01:49:22,Estable,Estable,0.043165922
2024-10-04,01:49:22,Estable,Estable,0.036259227
2024-10-04,01:49:22,Estable,Estable,0.03998903
2024-10-04,01:49:22,Estable,Estable,0.037291247
2024-10-04,01:49:23,Estable,Estable,0.03473309
2024-10-04,01:49:23,Estable,Estable,0.035926774
2024-10-04,01:49:23,Estable,Estable,0.041548472
2024-10-04,01:49:23,Estable,Estable,0.034688946
2024-10-04,01:49:23,Estable,Estable,0.043178163
2024-10-04,01:49:23,Estable,Estable,0.041934986
2024-10-04,01:49:23,Estable,Estable,0.042494964
2024-10-04,01:49:23,Estable,Estable,0.040289152
2024-10-04,01:49:23,Estable,Estable,0.043316573
2024-10-04,01:49:23,Estable,Estable,0.04280826
2024-10-04,01:49:24,Estable,Estable,0.048982635
2024-10-04,01:49:24,Estable,Estable,0.048743177
2024-10-04,01:49:24,Estable,Estable,0.050040487
2024-10-04,01:49:24,Estable,Estable,0.049768914
2024-10-04,01:49:24,Estable,Estable,0.052023627
2024-10-04,01:49:24,Estable,Estable,0.047002625
2024-10-04,01:49:24,Estable,Estable,0.04768154
2024-10-04,01:49:24,Estable,Estable,0.046148848
2024-10-04,01:49:24,Estable,Estable,0.044768665
2024-10-04,01:49:25,Estable,Estable,0.040473275
2024-10-04,01:49:25,Estable,Estable,0.030333688
2024-10-04,01:49:25,Estable,Estable,0.030896692
2024-10-04,01:49:25,Estable,Estable,0.03478416
2024-10-04,01:49:25,Estable,Estable,0.030874789
2024-10-04,01:49:25,Estable,Estable,0.03160395
2024-10-04,01:49:25,Estable,Estable,0.02924575
2024-10-04,01:49:25,Estable,Estable,0.044877112
2024-10-04,01:49:25,Estable,Estable,0.041557703
2024-10-04,01:49:25,Estable,Estable,0.0517846
2024-10-04,01:49:26,Estable,Estable,0.03677562
2024-10-04,01:49:26,Estable,Estable,0.046567235
2024-10-04,01:49:26,Estable,Estable,0.040958583
2024-10-04,01:49:26,Estable,Estable,0.046332084
2024-10-04,01:49:26,Estable,Estable,0.05347232
2024-10-04,01:49:26,Estable,Estable,0.05642266
2024-10-04,01:49:26,Estable,Estable,0.055837993
2024-10-04,01:49:26,Estable,Estable,0.055028666
2024-10-04,01:49:26,Estable,Estable,0.055979986
2024-10-04,01:49:26,Estable,Estable,0.0561561
2024-10-04,01:49:26,Estable,Estable,0.05776149
2024-10-04,01:49:27,Estable,Estable,0.058422953
2024-10-04,01:49:27,Estable,Estable,0.06174667
2024-10-04,01:49:27,Estable,Estable,0.060381293
2024-10-04,01:49:27,Estable,Estable,0.064692974
2024-10-04,01:49:27,Estable,Estable,0.06407028
2024-10-04,01:49:27,Estable,Estable,0.065295584
2024-10-04,01:49:27,Estable,Estable,0.06866201
2024-10-04,01:49:27,Estable,Estable,0.0697666
2024-10-04,01:49:27,Estable,Estable,0.06377521
2024-10-04,01:49:27,Estable,Estable,0.060161576
2024-10-04,01:49:27,Estable,Estable,0.06131273
2024-10-04,01:49:28,Estable,Estable,0.06604413
2024-10-04,01:49:28,Estable,Estable,0.0637827
2024-10-04,01:49:28,Estable,Estable,0.06445313
2024-10-04,01:49:28,Estable,Estable,0.063907504
2024-10-04,01:49:28,Estable,Estable,0.06465865
2024-10-04,01:49:28,Estable,Estable,0.06047043
2024-10-04,01:49:28,Estable,Estable,0.060474414
2024-10-04,01:49:28,Estable,Estable,0.05697627
2024-10-04,01:49:28,Estable,Estable,0.056408126
2024-10-04,01:49:28,Estable,Estable,0.052439973
2024-10-04,01:49:29,Estable,Estable,0.05572474
2024-10-04,01:49:29,Estable,Estable,0.060251594
2024-10-04,01:49:29,Estable,Estable,0.06266651
2024-10-04,01:49:29,Estable,Estable,0.06139294
2024-10-04,01:49:29,Estable,Estable,0.061879363
2024-10-04,01:49:29,Estable,Estable,0.06612584
2024-10-04,01:49:29,Estable,Estable,0.062428854
2024-10-04,01:49:29,Estable,Estable,0.060903985
2024-10-04,01:49:29,Estable,Estable,0.05956437
2024-10-04,01:49:29,Estable,Estable,0.06688343
2024-10-04,01:49:30,Estable,Estable,0.069629386
2024-10-04,01:49:30,Estable,Estable,0.065366805
2024-10-04,01:49:30,Estable,Estable,0.06606969
2024-10-04,01:49:30,Estable,Estable,0.07622221
2024-10-04,01:49:30,Estable,Estable,0.08275467
2024-10-04,01:49:30,Estable,Estable,0.075661086
2024-10-04,01:49:30,Estable,Estable,0.079274654
2024-10-04,01:49:30,Estable,Estable,0.07320178
2024-10-04,01:49:30,Estable,Estable,0.07131534
2024-10-04,01:49:30,Estable,Estable,0.057055287
2024-10-04,01:49:30,Estable,Estable,0.0552272
2024-10-04,01:49:31,Estable,Estable,0.06619916
2024-10-04,01:49:31,Estable,Estable,0.0609423
2024-10-04,01:49:31,Estable,Estable,0.06250456
2024-10-04,01:49:31,Estable,Estable,0.067638375
2024-10-04,01:49:31,Estable,Estable,0.07580041
2024-10-04,01:49:31,Estable,Estable,0.07600808
2024-10-04,01:49:31,Estable,Estable,0.06960568
2024-10-04,01:49:31,Estable,Estable,0.07270396
2024-10-04,01:49:31,Estable,Estable,0.06853419
2024-10-04,01:49:31,Estable,Estable,0.06752939
